Asset,Split,lag,empirical_acf,ou_implied_acf,abs_error,squared_error
BTC,train,113,-0.034071953231849694,4.243429400421607e-07,0.03407237757478974,0.0011609269135990346
BTC,train,114,-0.03424728805799354,3.726705685326986e-07,0.03424766072856207,0.0011729022653786927
BTC,train,115,-0.03522267269815921,3.272903577391579e-07,0.03522299998851695,0.0012406597281910648
BTC,train,116,-0.03637149568134781,2.8743610929830426e-07,0.036371783117457104,0.0013229066071433376
BTC,train,117,-0.03745143981990879,2.5243492505939444e-07,0.03745169225483385,0.0014026292527507817
BTC,train,118,-0.037184789913419586,2.216958458883441e-07,0.037185011609265475,0.0013827250883812082
BTC,train,119,-0.036293655437532664,1.946998739282384e-07,0.036293850137406596,0.0013172435577965289
BTC,train,120,-0.03603152988008907,1.7099120985227713e-07,0.03603170087129892,0.0012982834676787635
BTC,train,121,-0.03728923368647808,1.501695571591478e-07,0.03728938385603524,0.0013904981483627414
BTC,train,122,-0.03991678848577808,1.3188336357674032e-07,0.039916920369141656,0.0015933605317563961
BTC,train,123,-0.04188852989639704,1.1582388546222823e-07,0.0418886457202825,0.0017546586402793416
BTC,train,124,-0.042742714647887564,1.0171997498199493e-07,0.04274281636786255,0.0018269483510568187
BTC,train,125,-0.0426928391122092,8.933350205827759e-08,0.04269292844571126,0.0018226861392706215
BTC,train,126,-0.04325141654559101,7.845533378678948e-08,0.043251495000924796,0.0018706918198150226
BTC,train,127,-0.044467321197710706,6.890180344190603e-08,0.04446739009951415,0.001977348782262369
BTC,train,128,-0.045880812337127236,6.051160945218543e-08,0.04588087284873669,0.0021050544933619436
BTC,train,129,-0.04691391254573404,5.3143091988602455e-08,0.04691396568882603,0.0022009201766523463
BTC,train,130,-0.04750934880785235,4.6671841183478296e-08,0.04750939547969353,0.002257142658845924
BTC,train,131,-0.04783912491661219,4.0988596597333664e-08,0.04783916590520879,0.0022885857945060912
BTC,train,132,-0.04826794321465153,3.5997402468315124e-08,0.048267979212054,0.0023297978172152774
BTC,train,133,-0.04964494309724268,3.161398759747127e-08,0.04964497471123028,0.0024646235140786937
BTC,train,134,-0.05169618852310322,2.776434251590173e-08,0.05169621628744573,0.002672498778438369
BTC,train,135,-0.053309443234542085,2.4383469910703945e-08,0.053309467618011995,0.0028418993377158693
BTC,train,136,-0.053435467811508694,2.1414287211940294e-08,0.053435489225795905,0.0028553515088001503
BTC,train,137,-0.05273640087543761,1.8806662811930802e-08,0.05273641968210042,0.0027811299608866283
BTC,train,138,-0.05259716342517768,1.6516569644421707e-08,0.05259717994174733,0.0027664633378245472
BTC,train,139,-0.05308260494221026,1.4505341832681355e-08,0.05308261944755209,0.0028177644874136354
BTC,train,140,-0.053070405984345585,1.2739021855788175e-08,0.053070418723367443,0.0028164693434735498
BTC,train,141,-0.05109644530397824,1.1187787210682396e-08,0.05109645649176545,0.00261084786601488
BTC,train,142,-0.04781539711398816,9.825446889757645e-09,0.04781540693943505,0.0022863131407837734
BTC,train,143,-0.04478641648398271,8.628999172532509e-09,0.044786425112981885,0.0020058238744007344
BTC,train,144,-0.04391437873197017,7.578243265167489e-09,0.04391438631021343,0.0019284733250026608
BTC,train,145,-0.04540507266571154,6.655438230758509e-09,0.04540507932114977,0.002061621228159902
BTC,train,146,-0.04810890769782531,5.845003451794442e-09,0.048108913542828764,0.002314467562271373
BTC,train,147,-0.05054224675413069,5.133255567394143e-09,0.05054225188738626,0.002554519225848
BTC,train,148,-0.05161068866434759,4.5081774437777796e-09,0.051610693172525035,0.002663663649748522
BTC,train,149,-0.05206710406434595,3.959215277275568e-09,0.05206710802356122,0.0027109837379371937
BTC,train,150,-0.05301552542305588,3.4771004041661084e-09,0.05301552890015629,0.002810646304563307
BTC,train,151,-0.05461081300043977,3.0536928087860115e-09,0.05461081605413257,0.002982341230098304
BTC,train,152,-0.05572597172316665,2.68184368770558e-09,0.055725974405010335,0.003105384223387867
BTC,train,153,-0.05521588981239809,2.3552747495074794e-09,0.055215892167672836,0.0030487947478720747
BTC,train,154,-0.0537567178306671,2.068472212268816e-09,0.05375671989913931,0.0028897849343145206
BTC,train,155,-0.052526276380108435,1.8165937090027221e-09,0.05252627819670214,0.002759009901197347
BTC,train,156,-0.05234759988831289,1.5953865292532156e-09,0.05234760148369942,0.00274027138109621
BTC,train,157,-0.05299145604006578,1.4011158164364242e-09,0.0529914574411816,0.0028080945617405604
